filename,sharpness_orig,brightness_orig,contrast_orig,noise_orig,psnr_static,ssim_static,sharpness_static,brightness_static,contrast_static,noise_static,psnr_adaptive,ssim_adaptive,sharpness_adaptive,brightness_adaptive,contrast_adaptive,noise_adaptive
IS20250115_171841_9465_61003253.dcm,82.741920481094,0.68698144,0.1927837,0.01235084,21.723334782698473,0.8806217273288083,108.98112915485507,0.6411665,0.20719175,0.012350015,23.329278747279307,0.9028016548377412,35.84092933539621,0.6447727,0.19375288,0.009252979
IS20250115_190348_9148_86297118.dcm,116.69788312345442,0.5150665,0.30091184,0.0178955,19.911091130962312,0.7969866016228148,245.40289687662894,0.49702045,0.25436857,0.019260641,17.32671036508405,0.7962713688024867,59.6677163418077,0.4340355,0.22113597,0.012462518
IS20250115_191316_7227_10120577.dcm,101.51437962794768,0.503045,0.2835328,0.016204474,20.93025579497545,0.8274007296650744,169.9002811682813,0.5062171,0.24217954,0.017136864,19.74229303177507,0.8324783573252112,89.0140478239807,0.45943025,0.21652238,0.013768507
IS20250116_180218_7445_56958340.dcm,89.4367351560174,0.45824948,0.32773137,0.015758902,20.1569602089403,0.7909543410826156,313.557109764651,0.46073472,0.26921633,0.019593744,20.298161972624563,0.8076259802011971,63.52568098214046,0.43869388,0.2614861,0.0120963175
IS20250218_193552_3393_78829426.dcm,175.69812036146033,0.6899377,0.19675878,0.019854048,19.614749497746608,0.8135858725827273,357.7597347568533,0.627619,0.18423042,0.02179799,19.899662158107716,0.8035676502116256,54.87923473671185,0.62111354,0.17416209,0.012880566
IS20250218_193621_8940_10081171.dcm,236.9231397100756,0.65645796,0.13501187,0.027201563,19.43699317355553,0.7943671504914567,319.857438751402,0.58565503,0.16562805,0.02420617,18.27161193120005,0.6834134545074236,1261.4477722542072,0.6084196,0.17947787,0.046219524
IS20250221_192657_5718_56712676.dcm,373.5171666776705,0.5596068,0.1723624,0.033394724,22.057981676222095,0.7997272028842731,476.474792628353,0.53592575,0.18589526,0.030564884,19.467969140379946,0.7248122482241594,83.60516683930172,0.4831323,0.15876968,0.020257896
R10.rvg,210.97435862327143,0.5137038,0.14527357,0.013380136,23.325788576444,0.8445311866841138,58.107253580648795,0.53724027,0.14870316,0.0075645037,16.136698802545013,0.7872225718449198,92.47555577957068,0.6518575,0.17222553,0.009721375
R4.rvg,115.43858730626899,0.4806883,0.12000864,0.012006236,22.384442639278856,0.8998569010986349,50.8971577317243,0.51542705,0.14853601,0.0096636815,16.441599419807822,0.8480407104000837,319.0654554307036,0.6051425,0.16254805,0.015889227
R5.rvg,191.1507402346866,0.45119596,0.16644208,0.01367871,22.492522937549584,0.8211899486604308,924.2618346750331,0.48300403,0.16446534,0.027702421,13.860579340106538,0.7007094446845534,2178.353114641144,0.62832904,0.21037602,0.040518183
R6.rvg,181.49649370232035,0.45986664,0.13777517,0.0129162,22.64116763154691,0.845364861067939,290.674693499478,0.4935432,0.15136403,0.016067076,14.33082382318705,0.7165185081400477,2961.2542994668242,0.61326855,0.19017778,0.047003176
R7.rvg,337.3161592906012,0.52076375,0.11697555,0.01672482,24.38469510204633,0.8089455326163703,62.51787347336397,0.5283531,0.13265687,0.008229835,20.49578182610359,0.7657867336136165,132.5319208915809,0.5787598,0.14180367,0.012261418
R9.rvg,148.1666978133298,0.43463087,0.15674593,0.011375409,23.635807980596688,0.8572965859247208,138.05728428645511,0.4692463,0.14923221,0.011085066,11.582370897201887,0.6686829941583127,2063.091358534057,0.68039364,0.21045776,0.038857717
